,,Run 1 values,,,Run 2 values,,,Run 3 values,,,Cumulative pTau results,,,,Cumulative total Tau results,,,,Cumulative pTau/total Tau results,,,
Well Contents,Average Cell Count,pTau,pTau2,pTau3,Total Tau,Total Tau2,Total Tau3,ptau/total Tau,ptau/total Tau2,ptau/total tau3,Average pTau,St Dev,pvalue,Z score,Average Total Tau,St Dev2,pvalue2,Z score3,Average pTau/total Tau,St Dev3,pvalue3,Z score2
CDKL1 s2,322,0.86092,0.63784,1.01504,0.83,0.73709,0.78786,1.03725,0.86534,1.28835,0.83793,0.18965,0.27697,-1.35383,0.78498,0.04652,0.01525,-0.85998,1.06365,0.21274,0.65595,-0.90838
CDKL2 s1,396,0.77354,0.77205,0.95185,0.80569,0.8593,0.71329,0.96009,0.89846,1.33444,0.83248,0.10338,0.10696,-1.37778,0.79276,0.07386,0.03983,-0.7984,1.06433,0.23594,0.68326,-0.90166
CDKL2 s2,365,0.78563,0.60854,0.842,0.81016,0.85957,0.77954,0.96971,0.70796,1.08012,0.74539,0.12182,0.06855,-1.65217,0.81642,0.04038,0.01575,-0.61107,0.91927,0.19114,0.54053,-1.37605
CDKL3 s1,309,0.89353,0.68193,0.77294,0.85455,0.86925,0.80396,1.04562,0.7845,0.96142,0.7828,0.10615,0.07121,-1.59257,0.84258,0.03425,0.01542,-0.40393,0.93052,0.13327,0.46183,-1.41928
CDKL3 s2,461,1.08785,0.75357,1.04051,0.81616,0.76853,0.81391,1.33288,0.98053,1.27842,0.96065,0.18089,0.74252,-1.08703,0.79954,0.02687,0.00594,-0.74477,1.19728,0.18967,0.21342,-0.62161
CDKL5 s1,516,0.92785,1.22244,0.87435,0.73273,0.87193,0.75457,1.26629,1.40199,1.15873,1.00821,0.18744,0.94642,-0.7967,0.78641,0.07486,0.03859,-0.84868,1.27567,0.1219,0.05943,-0.25947
CDKL5 s2,412,1.29161,0.66153,0.99061,0.84936,0.78521,0.79609,1.52068,0.84249,1.24434,0.98125,0.31514,0.92732,-1.27376,0.81022,0.03433,0.01073,-0.66019,1.20251,0.34103,0.41183,-0.80048
CDKN1A s1,371,1.77941,1.22447,1.076,0.71733,0.75317,0.65647,2.48058,1.62575,1.63908,1.35996,0.37076,0.23467,0.86005,0.70899,0.04889,0.00928,-1.46167,1.91514,0.48974,0.08366,2.20805
CDKN1A s2,466,1.34178,1.20622,1.0821,0.92444,0.78971,0.89034,1.45145,1.52741,1.21538,1.21003,0.12988,0.10734,0.03548,0.86816,0.07005,0.08261,-0.20139,1.39808,0.16272,0.05144,0.1025
CDKN1B s1,106,0.9371,1.78043,2.61206,1.0036,0.7364,1.21036,0.93374,2.41775,2.15809,1.77653,0.83749,0.24951,2.13218,0.98345,0.23762,0.91502,0.71143,1.83652,0.79254,0.20904,1.2516
CDKN1B s2,11,1.68698,0.83923,1.63015,1.7452,0.88135,0.97719,0.96664,0.95221,1.66821,1.38545,0.4739,0.29425,-0.55654,1.20125,0.47351,0.53827,2.43585,1.19568,0.40928,0.49469,-1.1108
CDKN1C s1,226,0.73789,0.9876,0.83506,0.81912,0.91323,0.72257,0.90082,1.08144,1.15569,0.85352,0.12588,0.1814,-1.34725,0.81831,0.09533,0.0808,-0.59614,1.04598,0.13108,0.60523,-1.04158
CDKN1C s2,346,0.81217,0.79876,1.16162,0.7977,0.82578,0.81249,1.01814,0.96728,1.4297,0.92418,0.20574,0.58863,-0.95355,0.81199,0.01404,0.00185,-0.64616,1.13837,0.25358,0.44434,-0.63908
CDKN2A s1,190,0.93417,1.70141,1.67925,1.02466,0.94179,0.89611,0.91169,1.80656,1.87393,1.43828,0.43671,0.2243,-0.96781,0.95419,0.06516,0.3475,0.47972,1.53073,0.53716,0.22916,-0.51327
CDKN2A s2,18,0.71787,1.06672,1.45387,0.62275,0.96948,1.01154,1.15275,1.1003,1.43728,1.07949,0.36817,0.74436,-0.75452,0.86793,0.21337,0.39587,-0.20328,1.23011,0.18132,0.15903,-0.67027
CDKN2B s1,256,0.76785,1.193,2.16058,0.74653,0.60598,0.79555,1.02856,1.96873,2.71582,1.37381,0.71375,0.46009,-0.31563,0.71602,0.0984,0.03777,-1.40602,1.90437,0.84547,0.20511,1.21718
CDKN2B s2,142,0.90691,1.20872,1.1622,0.82367,0.9063,0.6819,1.10107,1.33367,1.70435,1.09261,0.16249,0.42763,-1.44411,0.80396,0.11349,0.09591,-0.70975,1.3797,0.30426,0.1632,-0.36171
CDKN2C s1,222,0.74019,1.24622,1.56273,0.85144,0.78604,0.68773,0.86934,1.58545,2.27229,1.18305,0.41489,0.52462,0.10645,0.77507,0.0824,0.04194,-0.93849,1.57569,0.70153,0.29111,0.97608
CDKN2C s2,142,0.95804,1.09152,1.62694,0.98255,0.89643,0.67263,0.97506,1.21764,2.41877,1.2255,0.35401,0.38489,0.17621,0.85053,0.15997,0.24701,-0.34098,1.53715,0.77307,0.35192,0.7034
