,,Run 1 values,,,Run 2 values,,,Run 3 values,,,Cumulative pTau results,,,,Cumulative total Tau results,,,,Cumulative pTau/total Tau results,,,
Well Contents,Average Cell Count,pTau,pTau2,pTau3,Total Tau,Total Tau2,Total Tau3,ptau/total Tau,ptau/total Tau2,ptau/total tau3,Average pTau,St Dev,pvalue,Z score,Average Total Tau,St Dev2,pvalue2,Z score3,Average pTau/total Tau,St Dev3,pvalue3,Z score2
CSNK1G3 s2,452,1.02423,0.91439,0,0.69206,0.93789,0,1.47997,0.97494,#DIV/0!,0.64621,0.56232,0.38962,-2.30204,0.81497,0.17382,0.24536,-0.62254,1.22746,0.35711,#DIV/0!,-0.21903
CSNK2A1 s1,160,0.86276,1.12497,1.12916,0.86241,0.69081,0.73995,1.00041,1.62847,1.52599,1.03896,0.15261,0.70156,-1.51917,0.76439,0.08837,0.04383,-1.02303,1.38496,0.33695,0.18641,-0.36714
CSNK2A1 s2,153,0.7483,0.9841,1.08294,0.85005,0.97171,0.87603,0.8803,1.01275,1.23619,0.93845,0.17193,0.59843,-0.8085,0.89927,0.06407,0.11254,0.04487,1.04308,0.17987,0.71854,-0.97017
CSNK2A2 s1,270,0.86046,1.42733,1.57155,0.72575,0.67882,0.80898,1.18562,2.10266,1.94264,1.28645,0.3759,0.3177,-0.22783,0.73785,0.06592,0.02043,-1.23318,1.74364,0.48984,0.1193,0.95024
CSNK2A2 s2,112,0.85544,0.95651,1.33721,0.97324,0.8193,0.87043,0.87896,1.16747,1.53626,1.04972,0.25405,0.7669,-0.80613,0.88766,0.0784,0.13115,-0.04705,1.19423,0.32947,0.41461,-0.72782
CSNK2B s1,42,1.58895,1.29709,0.96721,1.70001,0.88038,0.68014,0.93467,1.47333,1.42206,1.28441,0.31106,0.25412,-0.25091,1.08684,0.54037,0.80688,1.53003,1.27669,0.2973,0.24829,-0.74974
CSNK2B s2,253,0.68172,1.10287,1.33589,0.66632,1.16347,0.85396,1.0231,0.94791,1.56436,1.04016,0.33157,0.85326,-0.65374,0.89458,0.25105,0.54267,0.0078,1.17846,0.33631,0.45508,-0.69602
DAPK1 s1,350,0.80813,0.82534,1.8479,0.88057,0.89464,1.11709,0.91773,0.92254,1.65421,1.16046,0.59541,0.68657,-0.2174,0.9641,0.13268,0.68544,0.5582,1.16483,0.42383,0.56998,-0.84676
DAPK1 s2,226,0.9594,0.58108,1.57671,1.13287,0.94448,1.17266,0.84688,0.61523,1.34456,1.03906,0.50258,0.90523,-0.97914,1.08334,0.12189,0.35797,1.50229,0.93556,0.37266,0.79281,-1.89111
DAPK2 s1,383,1.18338,1.02948,1.98833,1.06377,0.83942,1.67478,1.11244,1.22642,1.18722,1.4004,0.51494,0.31037,0.16419,1.19266,0.43233,0.52094,2.36782,1.17536,0.0579,0.03448,-1.07111
DAPK2 s2,80,1.17342,0.96099,1.35493,1.32566,0.93801,1.19313,0.88516,1.0245,1.13561,1.16311,0.19717,0.28828,0.37021,1.15226,0.19703,0.3126,2.04801,1.01509,0.12549,0.85429,-1.0446
DAPK3 s1,412,0.69742,0.47254,1.00129,0.8229,0.67552,0.95691,0.84752,0.69952,1.04638,0.72375,0.26535,0.21314,-1.79451,0.81844,0.14075,0.15504,-0.59507,0.86447,0.17405,0.30985,-1.61859
DAPK3 s2,408,1.00951,0.7377,1.09952,1.06358,0.60299,0.88408,0.94917,1.22341,1.24368,0.94891,0.18836,0.68475,-0.8953,0.85022,0.23215,0.38,-0.3435,1.13875,0.1645,0.28149,-0.68476
DCAMKL1 s1,420,0.83585,0.62607,1.29525,0.88833,0.93211,0.85693,0.94092,0.67167,1.51151,0.91906,0.34226,0.72179,-0.90115,0.89246,0.03776,0.03872,-0.00906,1.04137,0.42883,0.88267,-0.97055
DCAMKL1 s2,342,0.87289,0.81126,1.20418,0.88158,0.96578,0.93176,0.99015,0.84,1.29237,0.96278,0.21132,0.78912,-1.47811,0.92637,0.04236,0.0949,0.25949,1.04084,0.2304,0.78785,-1.4996
CDKL1 s1,398,0.87769,0.81706,0.86248,0.72138,0.85878,0.70225,1.21668,0.95142,1.22817,0.85241,0.03154,0.01489,-1.56784,0.7608,0.08539,0.03995,-1.05146,1.13209,0.15657,0.28142,-0.80119
DCK s2,381,1.47481,1.12078,1.43384,0.80917,0.65367,0.88466,1.82261,1.71459,1.62077,1.34314,0.19366,0.09179,-0.60897,0.7825,0.11778,0.08542,-0.87963,1.71932,0.101,0.00651,0.5391
DDR1 s1,246,0.81909,0.83658,0.63347,0.71234,1.18846,0.89461,1.14985,0.70392,0.7081,0.76305,0.11256,0.06767,-1.62594,0.9318,0.24023,0.67159,0.30247,0.85396,0.25626,0.42765,-1.68074
DDR1 s2,283,0.82016,0.90049,0.69648,0.74915,1.13032,1.06563,1.09479,0.79667,0.65359,0.80571,0.10277,0.08196,-1.44791,0.9817,0.20398,0.89076,0.69752,0.84835,0.2251,0.36356,-1.73549
DDR2 s1,262,0.71868,0.98773,1.26473,0.79857,0.81916,1.13552,0.89995,1.20578,1.11379,0.99038,0.27304,0.95689,-0.94487,0.91775,0.18887,0.5294,0.19121,1.07318,0.15691,0.50403,-1.16104
DDR2 s2,173,0.8443,1.00269,1.49177,0.83721,0.82836,0.94245,1.00848,1.21046,1.58287,1.11292,0.33751,0.62084,-0.19129,0.86934,0.06347,0.07044,-0.19211,1.26727,0.29138,0.25306,-0.25267
DGKA s1,333,0.7251,1.11425,1.04303,0.78963,0.80571,0.76499,0.91828,1.38294,1.36346,0.96079,0.2072,0.77423,-1.12533,0.78678,0.02051,0.00307,-0.8458,1.22156,0.26283,0.2817,-0.54698
DGKA s2,390,0.97066,0.9719,0.82866,0.85009,0.73017,0.67375,1.14183,1.33107,1.22992,0.92374,0.08234,0.24989,-0.7297,0.75134,0.09005,0.04104,-1.12639,1.23427,0.09469,0.05038,-0.07468
DGKB s1,195,1.05229,1.247,1.09976,1.26634,1.60067,0.66316,0.83097,0.77905,1.65837,1.13302,0.10153,0.15132,-0.19291,1.17672,0.47514,0.58545,2.24167,1.08946,0.49337,0.7832,-1.10309
ADCK5 s2,280,0.7847,0.76733,0.59669,0.93095,1.03014,0.84197,0.8429,0.74488,0.70868,0.71624,0.1039,0.0419,-1.91981,0.93436,0.09413,0.35053,0.32268,0.76549,0.06944,0.02801,-2.0794
DGKD s1,439,0.97881,0.71719,0.97972,0.94282,0.94884,0.73366,1.03817,0.75586,1.3354,0.89191,0.15131,0.34152,-0.8895,0.87511,0.12254,0.21955,-0.14642,1.04314,0.2898,0.82064,-0.84012
DGKD s2,426,1.0452,0.69851,0.78652,0.99048,0.77161,1.11023,1.05524,0.90526,0.70843,0.84341,0.18021,0.27125,-1.21055,0.95744,0.17171,0.70954,0.50548,0.88964,0.17393,0.38641,-1.52536
DGKG s1,384,1.4245,1.27305,1.05198,0.85231,0.72062,0.64128,1.67134,1.76661,1.64043,1.24984,0.18734,0.14715,0.512,0.73807,0.10659,0.05102,-1.23142,1.69279,0.06577,0.00299,1.49982
DGKG s2,428,1.15256,1.07801,1.06659,0.77923,0.80318,0.79088,1.4791,1.34219,1.34862,1.09906,0.04669,0.06672,-0.65358,0.79109,0.01197,0.00109,-0.8116,1.38997,0.07726,0.01283,-0.02119
DGKQ s1,417,1.32215,1.19835,1.35614,0.8561,0.86539,0.60336,1.54439,1.38475,2.24763,1.29221,0.08305,0.02588,0.92064,0.77495,0.14867,0.11987,-0.93942,1.72559,0.45909,0.11155,1.7686
CARKL s2,375,0.86321,0.92366,0.85409,0.87683,0.8149,0.83909,0.98447,1.13346,1.01788,0.88032,0.03781,0.03169,-1.63955,0.84361,0.03121,0.01302,-0.39583,1.04527,0.07818,0.42154,-1.28779
DGKZ s1,415,1.42448,1.05554,0.95778,0.99116,0.95082,1.00509,1.43719,1.11014,0.95293,1.14594,0.24613,0.41241,-0.16167,0.98235,0.02818,0.39152,0.70273,1.16675,0.24704,0.36284,-0.77418
DGKZ s2,449,1.07109,0.75832,1.23719,0.9947,0.94533,0.94609,1.07679,0.80218,1.30769,1.0222,0.24315,0.88888,-0.58391,0.96204,0.02829,0.14573,0.54189,1.06222,0.25307,0.71168,-1.05076
DGUOK s1,456,1.26353,1.7381,1.40205,0.95833,0.92671,0.80722,1.31846,1.87556,1.73689,1.46789,0.24404,0.07996,0.25462,0.89742,0.0797,0.15558,0.03024,1.64364,0.29002,0.0615,0.4741
DGUOK s2,365,0.8128,1.51528,1.192,0.77362,1.02046,0.85551,1.05064,1.4849,1.39333,1.17336,0.35161,0.48307,0.49923,0.8832,0.12573,0.24887,-0.0848,1.30962,0.22891,0.14389,0.22374
DMPK s1,413,1.20831,0.77051,1.11564,0.81678,0.97372,1.06701,1.47936,0.79131,1.04558,1.03149,0.23071,0.83513,-0.19862,0.9525,0.12646,0.58207,0.46636,1.10542,0.34791,0.65208,-0.59167
DMPK s2,418,1.17934,0.96211,1.38685,0.96353,0.81706,0.96211,1.22397,1.17754,1.44146,1.1761,0.21239,0.28748,0.16553,0.91423,0.08416,0.21959,0.16337,1.28099,0.1409,0.07456,-0.1762
DTYMK s1,438,0.86857,1.03635,1.2417,0.79324,0.76516,0.65687,1.09496,1.35442,1.89032,1.04887,0.18688,0.69497,-1.01856,0.73843,0.07201,0.02434,-1.22862,1.44657,0.40561,0.19678,0.10963
DTYMK s2,431,1.04914,0.85408,1.3266,0.89061,0.73586,0.90032,1.178,1.16066,1.47348,1.07661,0.23745,0.63252,-0.54382,0.84226,0.09228,0.09765,-0.40647,1.27071,0.17581,0.11653,-0.34867
AKAP13 s1,181,0.80379,0.74534,0.66579,0.89838,1.00954,0.87991,0.89472,0.7383,0.75665,0.73831,0.06927,0.02257,-1.8234,0.92928,0.07012,0.22277,0.28249,0.79655,0.0855,0.05414,-1.97405
DYRK1A s2,383,0.78177,0.4893,1.13678,0.84228,0.78881,0.95751,0.92816,0.6203,1.18722,0.80262,0.32425,0.40228,-1.37567,0.86287,0.08621,0.11037,-0.24334,0.91189,0.28381,0.64461,-1.41079
DYRK1B s1,386,0.77533,1.21989,1.16819,0.75138,0.79298,0.58429,1.03188,1.53836,1.99932,1.05447,0.24312,0.73538,-0.30425,0.70955,0.11045,0.04498,-1.45724,1.52319,0.4839,0.20199,0.93745
DYRK1B s2,376,1.0949,0.86646,1.17221,0.77292,0.72388,0.81812,1.41658,1.19697,1.4328,1.04452,0.15898,0.67555,-1.03494,0.77164,0.04713,0.01391,-0.96565,1.34879,0.13173,0.0444,-0.27483
DYRK3 s1,410,0.90199,1.1328,0.94235,0.77655,0.85035,0.74139,1.16153,1.33216,1.27106,0.99238,0.12327,0.92452,-0.95527,0.78943,0.05561,0.02247,-0.82478,1.25492,0.08646,0.03627,-0.40747
DYRK3 s2,461,1.1302,0.86573,1.0367,0.90965,0.6892,0.90942,1.24245,1.25614,1.13996,1.01087,0.13411,0.90118,-0.86016,0.83609,0.12721,0.15532,-0.45534,1.21285,0.06349,0.02841,-0.58388
DYRK4 s1,364,0.9752,1.51468,1.05366,0.82732,0.99148,0.77423,1.17875,1.5277,1.36091,1.18118,0.29147,0.39426,-0.91415,0.86434,0.11326,0.17372,-0.23166,1.35579,0.17453,0.07169,-0.38992
DYRK4 s2,347,1.10155,0.95057,1.12232,0.87867,0.63949,0.83362,1.25365,1.48643,1.34631,1.05814,0.09374,0.39509,-0.58629,0.78393,0.1271,0.09858,-0.86832,1.36213,0.1172,0.03318,0.05351
EEF2K s1,391,1.00747,1.24549,1.09079,0.83345,0.68671,0.69545,1.2088,1.8137,1.56845,1.11458,0.12078,0.24207,-0.4335,0.73854,0.08231,0.03148,-1.22773,1.53032,0.30425,0.09443,0.65839
EEF2K s2,335,1.12456,0.65951,1.04729,0.9062,0.66476,0.77742,1.24096,0.99211,1.34712,0.94378,0.2492,0.73369,-1.1515,0.78279,0.12081,0.08949,-0.87733,1.1934,0.18223,0.20742,-0.61547
EGFR s1,60,1.17473,1.17469,1.05603,1.19643,1.06295,0.83031,0.98186,1.10512,1.27185,1.13515,0.06852,0.07603,-0.97682,1.0299,0.18528,0.80611,1.07918,1.11961,0.14554,0.29059,-1.33588
EGFR s2,401,0.98517,1.36289,0.9279,0.77449,1.06234,1.18528,1.27202,1.28291,0.78285,1.09198,0.23635,0.56972,-0.83692,1.00737,0.21084,0.95723,0.90078,1.1126,0.28562,0.56521,-1.20632
DCK s1,363,1.07825,1.05049,1.07629,0.75672,0.68911,0.65643,1.4249,1.52441,1.63961,1.06835,0.01549,0.0167,-0.35351,0.70076,0.05115,0.0096,-1.52688,1.52964,0.10745,0.01344,0.88664
DGKQ s2,406,1.16545,1.0855,1.10535,0.78631,0.75858,0.87107,1.48217,1.43098,1.26895,1.11877,0.04163,0.0386,-0.97675,0.80532,0.05861,0.02891,-0.69896,1.39403,0.11131,0.02558,-0.27144
EIF2AK3 s1,234,0.86733,1.63305,1.87714,0.74997,0.8498,0.80397,1.15649,1.9217,2.33483,1.45917,0.52688,0.27024,-0.21529,0.80125,0.04997,0.02043,-0.73123,1.80434,0.59787,0.14512,0.84323
EIF2AK3 s2,205,0.92865,1.18851,1.6956,0.93381,1.17665,0.65026,0.99447,1.01008,2.60758,1.27092,0.39006,0.35206,-0.04128,0.92024,0.26346,0.65234,0.21092,1.53738,0.92686,0.42103,0.38869
EIF2AK4 s1,95,0.97575,1.01093,1.32595,0.85928,1.06132,1.07064,1.13554,0.95252,1.23846,1.10421,0.19284,0.44809,-0.43852,0.99708,0.11943,0.97007,0.81932,1.10884,0.14483,0.32278,-1.02308
EIF2AK4 s2,182,1.00996,0.74314,0.98656,0.86981,0.84704,1.22522,1.16113,0.87733,0.80521,0.91322,0.14776,0.41605,-1.05749,0.98069,0.21207,0.88915,0.68952,0.94789,0.18816,0.67879,-1.45247
EKI1 s1,465,1.111,1.13542,0.868,0.86566,1.35271,0.82541,1.28342,0.83937,1.0516,1.03814,0.14785,0.69873,-0.9554,1.01459,0.29351,0.93922,0.95799,1.05813,0.2221,0.69476,-1.34419
EKI1 s2,430,1.03049,1.12326,1.071,0.96429,1.00267,0.75605,1.06865,1.12027,1.41658,1.07492,0.04651,0.10804,-0.4275,0.90767,0.1327,0.3514,0.11139,1.20183,0.18776,0.20367,-0.55744
EPHA1 s1,238,0.76484,0.88683,0.86181,0.66009,0.96243,0.82654,1.15868,0.92145,1.04266,0.83783,0.06443,0.0488,-1.69983,0.81636,0.15143,0.17048,-0.61159,1.04093,0.11863,0.61075,-1.22926
EPHA1 s2,288,1.01058,1.01618,0.68065,0.94733,1.07159,1.1265,1.06677,0.94828,0.60422,0.90247,0.19212,0.472,-1.22201,1.04847,0.09179,0.45692,1.22624,0.87309,0.24027,0.45684,-1.83506
EPHA2 s1,159,0.79313,0.80046,1.32113,0.69964,0.99307,1.30585,1.13362,0.80605,1.0117,0.97157,0.30275,0.88575,-0.96779,0.99952,0.30316,0.99807,0.83865,0.98379,0.16556,0.88093,-1.45812
EPHA2 s2,130,0.95387,0.83924,1.07964,1.00815,0.84285,1.09356,0.94616,0.99572,0.98727,0.95758,0.12024,0.60339,-1.31408,0.98152,0.12746,0.82514,0.6961,0.97638,0.02651,0.26278,-1.61646
EPHA3 s1,218,0.85633,1.06433,1.01218,0.73174,0.77578,0.80708,1.17027,1.37195,1.25413,0.97761,0.10822,0.75438,-0.53598,0.77153,0.03785,0.00902,-0.9665,1.26545,0.10132,0.04529,-0.00401
EPHA3 s2,309,0.986,1.59049,0.88264,0.88585,1.22036,1.06553,1.11305,1.3033,0.82836,1.15305,0.38235,0.55981,-0.82189,1.05725,0.16741,0.6137,1.29569,1.08157,0.23903,0.61437,-1.42158
EPHA4 s1,196,0.91965,0.69082,0.88862,0.96882,1.07062,1.06047,0.94925,0.64525,0.83795,0.83303,0.12413,0.14516,-1.48075,1.0333,0.05608,0.41178,1.10613,0.81082,0.1538,0.16685,-2.03356
EPHA4 s2,45,1.58276,0.85841,1.19468,1.43433,1.14484,0.75812,1.10348,0.74981,1.57585,1.21195,0.36248,0.41777,0.08135,1.11243,0.33927,0.62392,1.73263,1.14305,0.41444,0.61063,-0.91365
EPHA5 s1,318,0.97535,0.73452,2.24134,0.90343,0.74636,0.82773,1.0796,0.98413,2.70781,1.31707,0.80945,0.56746,-0.83086,0.82584,0.07855,0.06161,-0.53649,1.59052,0.96879,0.40178,0.10995
EPHA5 s2,23,2.35747,0.81084,1.62179,2.36408,1.15556,0.93728,0.9972,0.70169,1.73032,1.5967,0.77362,0.31329,0.6321,1.48564,0.76854,0.38797,4.68754,1.14307,0.5296,0.68588,-1.24161
EPHA7 s1,293,0.92777,0.87874,0.85791,0.88846,0.96246,0.8624,1.04424,0.91302,0.99479,0.88814,0.03587,0.0326,-0.90612,0.90444,0.05191,0.08587,0.08582,0.98402,0.06627,0.71671,-1.07668
EPHA7 s2,228,0.82104,0.84409,1.27934,0.84743,0.99662,0.83153,0.96886,0.84695,1.53854,0.98149,0.2582,0.91255,-0.79932,0.89186,0.09108,0.17602,-0.01377,1.11812,0.36916,0.63514,-0.81882
EPHA8 s1,196,0.8933,0.79294,0.91252,0.85163,0.94769,0.88322,1.04893,0.83671,1.03317,0.86625,0.06421,0.06898,-1.54583,0.89418,0.04896,0.06453,0.00462,0.97293,0.11824,0.73006,-1.51225
EPHA8 s2,126,1.15071,0.84268,1.30018,1.06881,1.0288,0.78736,1.07662,0.81909,1.65131,1.09786,0.23328,0.54303,-0.64286,0.96166,0.15226,0.70529,0.53886,1.18234,0.42606,0.53575,-0.8432
EPHB1 s1,145,1.0261,0.48749,0.48454,1.02426,0.65853,0.67779,1.0018,0.74027,0.71489,0.66605,0.31182,0.20475,-2.15351,0.78686,0.20582,0.21472,-0.84513,0.81899,0.15883,0.1871,-1.8574
EPHB1 s2,66,0.93791,0.54108,0.58734,0.74768,0.6715,0.57287,1.25442,0.80577,1.02526,0.68878,0.21699,0.13095,-1.95645,0.66402,0.08765,0.02194,-1.81775,1.02848,0.22434,0.84635,-0.95181
EPHB2 s1,286,1.02715,1.31041,1.32923,1.00423,1.09594,0.94074,1.02282,1.1957,1.41296,1.22226,0.16924,0.15075,-0.42157,1.01364,0.07803,0.7907,0.95041,1.21049,0.19549,0.20319,-0.93122
EPHB2 s2,134,1.47939,1.68787,1.45971,1.41681,1.35582,0.91386,1.04417,1.24491,1.5973,1.54232,0.12643,0.01764,1.33779,1.22883,0.27447,0.28556,2.65424,1.29546,0.28001,0.20913,-0.56284
EPHB3 s1,65,0.72861,1.19894,1.57886,0.47605,0.95981,0.74384,1.53054,1.24914,2.12257,1.1688,0.42592,0.56333,-0.37338,0.72657,0.24234,0.18987,-1.32252,1.63409,0.44582,0.13275,0.88166
EPHB3 s2,225,0.96007,0.86206,1.30703,1.01072,0.67967,0.80737,0.94989,1.26835,1.61888,1.04305,0.23381,0.78,-0.67806,0.83259,0.16696,0.22456,-0.48309,1.27904,0.33462,0.28548,-0.30524
EPHB4 s1,150,0.98787,0.78595,0.73811,1.06152,1.10831,1.06724,0.93062,0.70914,0.6916,0.83731,0.13256,0.16742,-1.45587,1.07902,0.02552,0.03306,1.46812,0.77712,0.13322,0.10131,-2.16685
EPHB4 s2,98,1.0336,0.83958,1.07897,1.22875,1.18144,1.07232,0.84118,0.71064,1.00619,0.98405,0.12716,0.84814,-1.60855,1.16084,0.08022,0.07386,2.11591,0.85267,0.14811,0.22705,-2.21417
EPHB6 s1,71,1.03236,0.69922,1.45854,0.98926,1.10687,0.71332,1.04357,0.63171,2.04472,1.06337,0.38061,0.80018,-0.05031,0.93648,0.20201,0.64065,0.33954,1.24,0.7267,0.62503,-0.05645
EPHB6 s2,45,1.20723,0.82168,0.88176,0.76687,0.92337,0.88578,1.57424,0.88987,0.99546,0.97022,0.20744,0.82686,-0.72671,0.85867,0.0817,0.09567,-0.27655,1.15319,0.36844,0.54622,-0.59234
ERBB2 s1,194,1.26064,1.22792,1.23385,1.19153,0.99401,0.8786,1.058,1.23532,1.40434,1.2408,0.01743,0.00174,0.35123,1.02138,0.15825,0.83675,1.01172,1.23255,0.17319,0.14556,-0.50172
ERBB2 s2,159,0.93866,1.1477,0.73293,1.01377,0.938,0.97632,0.92591,1.22356,0.7507,0.93976,0.20739,0.66483,-0.99782,0.97603,0.03788,0.38746,0.65265,0.96672,0.23905,0.83194,-1.43237
ERBB3 s1,186,1.07831,0.98777,1.58744,1.09836,0.95813,0.62338,0.98174,1.03093,2.54651,1.21784,0.32327,0.36348,-0.27871,0.89329,0.24404,0.5279,-0.00245,1.51973,0.88956,0.41807,0.35664
ERBB3 s2,42,1.29899,1.14202,1.26181,0.89702,1.03678,0.70963,1.44811,1.10151,1.77812,1.23427,0.08203,0.03852,-0.59365,0.88115,0.16415,0.33652,-0.09861,1.44258,0.33834,0.15169,-0.17093
ERBB4 s1,79,1.11659,1.02496,1.16856,1.07788,0.72746,0.74122,1.03592,1.40895,1.57654,1.10337,0.07271,0.13284,-0.72011,0.84885,0.19846,0.3179,-0.3543,1.34047,0.27674,0.1668,-0.29492
ERBB4 s2,152,0.95798,0.9636,0.9204,0.90582,0.72724,1.01797,1.05759,1.325,0.90416,0.94733,0.02349,0.06034,-0.9172,0.88368,0.14662,0.30313,-0.07857,1.09558,0.21298,0.51832,-0.86741
PFKFB3 s2,458,1.15146,1.23351,1.227,0.81956,0.78139,0.83759,1.40498,1.57861,1.46492,1.20399,0.04561,0.01626,0.01423,0.81285,0.02869,0.00774,-0.63937,1.48283,0.08819,0.01094,0.44322
ERK8 s2,262,1.0711,1.18043,1.17808,0.91277,0.75944,0.96917,1.17347,1.55434,1.21555,1.1432,0.06245,0.05794,-1.12759,0.88046,0.10853,0.19666,-0.10404,1.31445,0.20881,0.1209,-0.54716
ERN1 s1,199,1.01682,1.25745,1.63942,0.89785,0.93215,0.76057,1.13251,1.34898,2.15552,1.30457,0.31396,0.23493,0.39794,0.86352,0.0908,0.12127,-0.23813,1.54567,0.53912,0.22168,0.57401
ERN1 s2,247,0.94273,1.33684,1.47874,0.87433,1.10167,0.63898,1.07822,1.21347,2.31421,1.25277,0.27772,0.25563,-0.52063,0.87166,0.23136,0.43803,-0.1737,1.5353,0.67794,0.30483,0.15073
FASTK s1,301,1.30952,2.01509,1.26553,1.00014,0.90312,0.77899,1.30934,2.23126,1.62458,1.53005,0.42063,0.16077,0.06946,0.89408,0.11085,0.23975,0.00381,1.72173,0.46857,0.11646,0.51309
FASTK s2,384,1.04614,1.09593,1.50437,0.8595,1.2351,0.94791,1.21715,0.88732,1.58703,1.21548,0.25142,0.27597,-0.40653,1.01417,0.19637,0.91196,0.95464,1.2305,0.35005,0.37223,-0.82753
FER s1,133,0.87643,1.77421,2.21163,0.83038,1.26211,0.71473,1.05545,1.40575,3.09434,1.62076,0.6807,0.25498,0.55202,0.93574,0.2885,0.73682,0.33366,1.85185,1.09019,0.3086,0.90294
FER s2,28,1.15268,1.54355,1.44057,1.04505,1.45672,0.77834,1.10298,1.0596,1.85082,1.37893,0.2026,0.08352,0.99244,1.09337,0.34176,0.68268,1.58173,1.3378,0.44482,0.31895,-0.1009
FES s1,29,1.15691,1.26318,2.0498,0.82236,1.44645,0.75268,1.40682,0.8733,2.72332,1.48997,0.48774,0.22399,1.38926,1.00716,0.38202,0.97704,0.89915,1.66782,0.95223,0.34842,1.09467
FES s2,57,1.5347,1.37479,1.54605,1.46506,1.60964,0.84787,1.04753,0.85409,1.82345,1.48518,0.09577,0.01274,-0.12779,1.30753,0.40458,0.31862,3.27732,1.24169,0.51302,0.50023,-0.94248
FGFR1 s1,139,1.03141,0.92468,1.13432,1.04761,0.98386,0.78887,0.98453,0.93985,1.4379,1.03014,0.10483,0.66789,-1.39071,0.94011,0.1348,0.52207,0.36828,1.12076,0.27556,0.52708,-1.27113
FGFR1 s2,235,0.99211,0.78903,1.04527,0.94661,0.78055,0.80354,1.04807,1.01086,1.30083,0.94214,0.13523,0.53583,-1.37055,0.84356,0.08998,0.09485,-0.39616,1.11992,0.15778,0.31863,-1.02468
FGFR2 s1,260,1.0251,1.02951,0.80569,0.91283,0.90558,0.64208,1.123,1.13685,1.25481,0.95343,0.12797,0.59294,-0.65725,0.82016,0.15427,0.18093,-0.58145,1.17155,0.07243,0.0546,-0.38365
FGFR2 s2,117,0.88752,0.95827,1.02567,0.78723,0.85039,0.71483,1.1274,1.12686,1.43484,0.95715,0.06908,0.39509,-0.95965,0.78415,0.06783,0.03138,-0.86658,1.2297,0.17766,0.15449,-0.37182
FGFR3 s1,280,0.89162,0.65368,1.02112,0.83985,0.94151,0.65635,1.06164,0.69429,1.55575,0.85547,0.18637,0.31133,-1.16736,0.81257,0.14452,0.15375,-0.64158,1.1039,0.43228,0.71762,-0.67281
FGFR3 s2,162,0.75491,0.81947,0.6321,0.64955,1.01441,0.83973,1.1622,0.80783,0.75274,0.73549,0.09518,0.04056,-2.00699,0.83456,0.18248,0.25694,-0.46743,0.90759,0.22221,0.54616,-1.64576
FGFR4 s1,143,1.42334,0.98887,1.21353,1.21216,1.37189,0.971,1.17422,0.72081,1.24977,1.20858,0.21727,0.23826,-0.88708,1.18502,0.20182,0.25324,2.30733,1.04827,0.28609,0.79764,-1.44334
FLJ11149 s1,499,1.15964,1.2399,0.61943,1.06092,0.97219,0.82656,1.09306,1.27536,0.74941,1.00632,0.33746,0.97706,-1.12027,0.95322,0.11833,0.56421,0.47207,1.03927,0.26707,0.82274,-1.4153
FLJ11149 s2,477,0.95879,0.6992,0.97263,0.99205,0.91474,0.91403,0.96647,0.76438,1.06411,0.87687,0.15402,0.30041,-1.34247,0.94027,0.04484,0.14742,0.36954,0.93165,0.15287,0.51971,-1.58536
FLJ13052 s1,410,1.36578,1.17656,0.73131,0.95804,0.77881,0.85623,1.4256,1.51071,0.8541,1.09122,0.32573,0.67558,-0.53225,0.86436,0.08989,0.1205,-0.23151,1.26347,0.35707,0.32951,-0.40412
FLJ13052 s2,325,1.11809,1.12262,1.21358,1.15035,1.24313,1.00656,0.97196,0.90306,1.20567,1.15143,0.05387,0.03969,-0.77261,1.13335,0.1192,0.19225,1.89825,1.02689,0.15861,0.79667,-1.61007
FLT1 s1,151,1.69493,0.90428,2.01111,1.57887,1.33229,0.70268,1.07351,0.67874,2.86206,1.53677,0.57011,0.24452,0.82464,1.20461,0.45184,0.51498,2.46249,1.5381,1.16345,0.50713,0.21523
FLT1 s2,111,1.19637,0.89992,1.3399,0.74298,1.09303,0.681,1.61023,0.82333,1.96756,1.1454,0.22438,0.37835,0.28847,0.839,0.22217,0.3362,-0.4323,1.46704,0.5854,0.30112,0.80032
FLT3 s1,65,1.09278,0.84631,1.51697,0.75859,0.83598,0.89097,1.44054,1.01235,1.70262,1.15202,0.33924,0.51887,-0.1188,0.82851,0.0665,0.04665,-0.51533,1.38517,0.34845,0.19564,0.13096
FLT3 s2,167,0.86143,0.71144,0.98583,0.81811,0.88398,0.84711,1.05295,0.80481,1.16376,0.8529,0.13739,0.20484,-1.33164,0.84973,0.03301,0.01571,-0.34732,1.00717,0.1838,0.95228,-1.19809
FLT3LG s1,356,1.47357,1.38937,0.8319,0.81121,0.81006,0.57875,1.81651,1.71515,1.4374,1.23161,0.34872,0.36896,-0.11349,0.73334,0.13388,0.07473,-1.26889,1.65635,0.19627,0.02854,0.93396
FLT3LG s2,402,1.42651,1.13942,1.83011,1.13699,1.12221,1.322,1.25464,1.01534,1.38435,1.46535,0.34698,0.14584,1.32152,1.19373,0.11133,0.0947,2.37635,1.21811,0.1872,0.18106,-0.67976
FLT4 s1,63,1.21021,1.28186,1.33608,0.82592,0.90703,0.67727,1.46527,1.41325,1.97274,1.27605,0.06314,0.01699,-0.41249,0.80341,0.11652,0.09987,-0.71411,1.61709,0.3091,0.07442,0.426
